Gene,Transcript_ID,Chromosome,Strand,Exon,Exon_Start,Exon_End,Exon_Length,Exon_Frame
ABCA1,NM_005502,chr9,-,5,104883039,104883157,119,2
ABCA1,NM_005502,chr9,-,6,104861679,104861800,122,1
ABCA1,NM_005502,chr9,-,7,104858522,104858698,177,0
ABCA1,NM_005502,chr9,-,8,104845477,104845569,93,0
ABCA1,NM_005502,chr9,-,9,104840279,104840519,241,0
ABCA1,NM_005502,chr9,-,10,104837428,104837567,140,1
ABCA1,NM_005502,chr9,-,11,104836980,104837096,117,0
ABCA1,NM_005502,chr9,-,12,104832574,104832771,198,0
ABCA1,NM_005502,chr9,-,13,104831622,104831827,206,0
ABCA1,NM_005502,chr9,-,14,104830925,104831101,177,2
ABCA1,NM_005502,chr9,-,15,104828916,104829138,223,2
ABCA1,NM_005502,chr9,-,16,104826948,104827169,222,0
ABCA1,NM_005502,chr9,-,17,104825683,104825887,205,0
ABCA1,NM_005502,chr9,-,18,104824465,104824578,114,1
ABCA1,NM_005502,chr9,-,19,104822496,104822667,172,1
ABCA1,NM_005502,chr9,-,20,104821375,104821506,132,2
ABCA1,NM_005502,chr9,-,21,104819927,104820069,143,2
ABCA1,NM_005502,chr9,-,22,104819586,104819723,138,1
ABCA1,NM_005502,chr9,-,23,104818663,104818883,221,1
ABCA1,NM_005502,chr9,-,24,104817332,104817404,73,0
ABCA1,NM_005502,chr9,-,25,104816143,104816345,203,1
ABCA1,NM_005502,chr9,-,26,104814427,104814475,49,0
ABCA1,NM_005502,chr9,-,27,104814118,104814231,114,1
ABCA1,NM_005502,chr9,-,28,104812574,104812722,149,1
ABCA1,NM_005502,chr9,-,29,104810800,104810924,125,0
ABCA1,NM_005502,chr9,-,30,104809466,104809564,99,2
ABCA1,NM_005502,chr9,-,31,104806241,104806430,190,2
ABCA1,NM_005502,chr9,-,32,104804626,104804720,95,0
ABCA1,NM_005502,chr9,-,33,104803284,104803316,33,2
ABCA1,NM_005502,chr9,-,34,104802054,104802159,106,2
ABCA1,NM_005502,chr9,-,35,104800510,104800584,75,0
ABCA1,NM_005502,chr9,-,36,104799819,104799988,170,0
ABCA1,NM_005502,chr9,-,37,104798421,104798598,178,2
ABCA1,NM_005502,chr9,-,38,104796309,104796424,116,0
ABCA1,NM_005502,chr9,-,39,104796053,104796197,145,2
ABCA1,NM_005502,chr9,-,40,104794387,104794510,124,0
ABCA1,NM_005502,chr9,-,41,104793171,104793300,130,1
ABCA1,NM_005502,chr9,-,42,104792786,104792906,121,2
ABCA1,NM_005502,chr9,-,43,104791936,104791998,63,0
ABCA1,NM_005502,chr9,-,44,104790922,104791028,107,0
ABCA1,NM_005502,chr9,-,45,104788426,104788567,142,2
ABCA1,NM_005502,chr9,-,46,104787920,104788054,135,0
ABCA1,NM_005502,chr9,-,47,104786873,104786976,104,0
ABCA1,NM_005502,chr9,-,48,104786298,104786390,93,2
ABCA1,NM_005502,chr9,-,49,104785396,104785639,244,2
ABCA1,NM_005502,chr9,-,50,104781006,104784455,3450,0
AASS,NM_005763,chr7,-,1,122144161,122144249,89,-1
AASS,NM_005763,chr7,-,2,122133517,122133741,225,0
AASS,NM_005763,chr7,-,3,122129361,122129537,177,0
AASS,NM_005763,chr7,-,4,122126375,122126459,85,0
AASS,NM_005763,chr7,-,5,122118563,122118630,68,1
AASS,NM_005763,chr7,-,6,122118307,122118453,147,0
AASS,NM_005763,chr7,-,7,122116879,122116957,79,0
AASS,NM_005763,chr7,-,8,122116633,122116760,128,1
AASS,NM_005763,chr7,-,9,122115074,122115222,149,0
AASS,NM_005763,chr7,-,10,122113598,122113720,123,2
AASS,NM_005763,chr7,-,11,122113118,122113229,112,2
AASS,NM_005763,chr7,-,12,122101621,122101680,60,0
AASS,NM_005763,chr7,-,13,122101371,122101438,68,0
AASS,NM_005763,chr7,-,14,122098745,122098866,122,2
AASS,NM_005763,chr7,-,15,122098450,122098576,127,1
AASS,NM_005763,chr7,-,16,122093048,122093158,111,2
AASS,NM_005763,chr7,-,17,122092843,122092951,109,2
AASS,NM_005763,chr7,-,18,122091703,122091843,141,0
AASS,NM_005763,chr7,-,19,122086012,122086179,168,0
AASS,NM_005763,chr7,-,20,122081500,122081595,96,0
AASS,NM_005763,chr7,-,21,122079597,122079712,116,0
AASS,NM_005763,chr7,-,22,122078862,122078950,89,2
AASS,NM_005763,chr7,-,23,122077838,122078014,177,1
AASS,NM_005763,chr7,-,24,122073549,122076607,3059,1
AAAS,NM_015665,chr12,-,1,53321343,53321610,268,0
AAAS,NM_015665,chr12,-,2,53320565,53320692,128,0
AAAS,NM_015665,chr12,-,3,53315727,53315782,56,2
AAAS,NM_015665,chr12,-,4,53315335,53315426,92,1
AAAS,NM_015665,chr12,-,5,53315094,53315140,47,0
AAAS,NM_015665,chr12,-,6,53314751,53314849,99,2
AAAS,NM_015665,chr12,-,7,53314298,53314441,144,2
AAAS,NM_015665,chr12,-,8,53309601,53309721,121,2
AAAS,NM_015665,chr12,-,9,53309157,53309281,125,0
AAAS,NM_015665,chr12,-,10,53308960,53309020,61,2
AAAS,NM_015665,chr12,-,11,53308725,53308815,91,0
AAAS,NM_015665,chr12,-,12,53308435,53308528,94,1
AAAS,NM_015665,chr12,-,13,53308282,53308349,68,2
AAAS,NM_015665,chr12,-,14,53308052,53308133,82,1
AAAS,NM_015665,chr12,-,15,53307845,53307929,85,2
AAAS,NM_015665,chr12,-,16,53307460,53307713,254,0
A4GALT,NM_017436,chr22,-,1,42720797,42720870,74,-1
A4GALT,NM_017436,chr22,-,2,42695491,42695631,141,-1
A4GALT,NM_017436,chr22,-,3,42692121,42693997,1877,0
ABAT,NM_020686,chr16,+,1,8674617,8674711,95,-1
ABAT,NM_020686,chr16,+,2,8735699,8735809,111,0
ABAT,NM_020686,chr16,+,3,8746001,8746098,98,1
ABAT,NM_020686,chr16,+,4,8748108,8748137,30,0
ABAT,NM_020686,chr16,+,5,8750422,8750539,118,0
ABAT,NM_020686,chr16,+,6,8757757,8757806,50,1
ABAT,NM_020686,chr16,+,7,8764069,8764149,81,0
ABAT,NM_020686,chr16,+,8,8764738,8764830,93,0
ABAT,NM_020686,chr16,+,9,8766208,8766270,63,0
ABAT,NM_020686,chr16,+,10,8768193,8768256,64,0
ABAT,NM_020686,chr16,+,11,8768825,8768973,149,1
ABAT,NM_020686,chr16,+,12,8772780,8772917,138,0
ABAT,NM_020686,chr16,+,13,8774890,8775057,168,0
ABAT,NM_020686,chr16,+,14,8776344,8776490,147,0
ABAT,NM_020686,chr16,+,15,8779479,8779590,112,0
ABAT,NM_020686,chr16,+,16,8781309,8784570,3262,1
AARS2,NM_020745,chr6,-,1,44313081,44313347,267,0
AARS2,NM_020745,chr6,-,2,44312072,44312263,192,0
AARS2,NM_020745,chr6,-,3,44311390,44311535,146,0
AARS2,NM_020745,chr6,-,4,44310994,44311161,168,2
AARS2,NM_020745,chr6,-,5,44310299,44310443,145,2
AARS2,NM_020745,chr6,-,6,44307249,44307394,146,0
AARS2,NM_020745,chr6,-,7,44306923,44307031,109,2
AARS2,NM_020745,chr6,-,8,44306494,44306532,39,0
AARS2,NM_020745,chr6,-,9,44306280,44306391,112,0
AARS2,NM_020745,chr6,-,10,44305653,44305786,134,1
AARS2,NM_020745,chr6,-,11,44305054,44305198,145,0
AARS2,NM_020745,chr6,-,12,44304645,44304817,173,1
AARS2,NM_020745,chr6,-,13,44304420,44304533,114,0
AARS2,NM_020745,chr6,-,14,44304181,44304321,141,0
AARS2,NM_020745,chr6,-,15,44303286,44303423,138,0
AARS2,NM_020745,chr6,-,16,44303066,44303175,110,0
AARS2,NM_020745,chr6,-,17,44302802,44302910,109,2
AARS2,NM_020745,chr6,-,18,44302391,44302513,123,0
AARS2,NM_020745,chr6,-,19,44302060,44302170,111,0
AARS2,NM_020745,chr6,-,20,44301381,44301464,84,0
AARS2,NM_020745,chr6,-,21,44301156,44301266,111,0
AARS2,NM_020745,chr6,-,22,44298731,44300711,1981,0
AAGAB,NM_024666,chr15,-,1,67254559,67254661,103,0
AAGAB,NM_024666,chr15,-,2,67236630,67236820,191,1
AAGAB,NM_024666,chr15,-,3,67236408,67236504,97,0
AAGAB,NM_024666,chr15,-,4,67235979,67236068,90,1
AAGAB,NM_024666,chr15,-,5,67231814,67231897,84,1
AAGAB,NM_024666,chr15,-,6,67209462,67209544,83,1
AAGAB,NM_024666,chr15,-,7,67208562,67208658,97,0
AAGAB,NM_024666,chr15,-,8,67204044,67204148,105,1
AAGAB,NM_024666,chr15,-,9,67203548,67203597,50,1
AAGAB,NM_024666,chr15,-,10,67200667,67202898,2232,0
ABCA12,NM_173076,chr2,-,1,215138140,215138626,487,0
ABCA12,NM_173076,chr2,-,2,215111597,215111690,94,0
ABCA12,NM_173076,chr2,-,3,215064066,215064219,154,1
ABCA12,NM_173076,chr2,-,4,215054573,215054664,92,2
ABCA12,NM_173076,chr2,-,5,215052487,215052584,98,1
ABCA12,NM_173076,chr2,-,6,215049626,215049811,186,0
ABCA12,NM_173076,chr2,-,7,215045837,215046015,179,0
ABCA12,NM_173076,chr2,-,8,215036953,215037065,113,2
ABCA12,NM_173076,chr2,-,9,215031821,215031896,76,1
ABCA12,NM_173076,chr2,-,10,215026820,215026938,119,2
ABCA12,NM_173076,chr2,-,11,215025673,215025779,107,1
ABCA12,NM_173076,chr2,-,12,215019540,215019796,257,0
ABCA12,NM_173076,chr2,-,13,215019336,215019448,113,2
ABCA12,NM_173076,chr2,-,14,215018008,215018132,125,1
ABCA12,NM_173076,chr2,-,15,215015490,215015663,174,0
ABCA12,NM_173076,chr2,-,16,215011971,215012135,165,0
ABCA12,NM_173076,chr2,-,17,215011439,215011649,211,0
ABCA12,NM_173076,chr2,-,18,215010331,215010470,140,1
ABCA12,NM_173076,chr2,-,19,215007727,215007846,120,0
ABCA12,NM_173076,chr2,-,20,215004209,215004299,91,0
ABCA12,NM_173076,chr2,-,21,215001558,215001737,180,1
ABCA12,NM_173076,chr2,-,22,215000705,215001020,316,1
ABCA12,NM_173076,chr2,-,23,214997695,214997809,115,2
ABCA12,NM_173076,chr2,-,24,214990702,214991031,330,0
ABCA12,NM_173076,chr2,-,25,214989552,214989621,70,0
ABCA12,NM_173076,chr2,-,26,214989329,214989463,135,1
ABCA12,NM_173076,chr2,-,27,214987647,214987793,147,1
ABCA12,NM_173076,chr2,-,28,214986542,214986728,187,1
ABCA12,NM_173076,chr2,-,29,214983647,214983865,219,2
ABCA12,NM_173076,chr2,-,30,214982187,214982383,197,2
ABCA12,NM_173076,chr2,-,31,214980483,214980643,161,1
ABCA12,NM_173076,chr2,-,32,214978804,214979040,237,0
ABCA12,NM_173076,chr2,-,33,214978316,214978466,151,0
ABCA12,NM_173076,chr2,-,34,214975785,214976037,253,1
ABCA12,NM_173076,chr2,-,35,214974778,214974864,87,2
ABCA12,NM_173076,chr2,-,36,214973949,214974042,94,2
ABCA12,NM_173076,chr2,-,37,214970273,214970400,128,0
ABCA12,NM_173076,chr2,-,38,214968720,214968807,88,2
ABCA12,NM_173076,chr2,-,39,214966848,214966953,106,0
ABCA12,NM_173076,chr2,-,40,214959024,214959078,55,1
ABCA12,NM_173076,chr2,-,41,214958277,214958454,178,2
ABCA12,NM_173076,chr2,-,42,214956663,214956778,116,0
ABCA12,NM_173076,chr2,-,43,214955202,214955361,160,2
ABCA12,NM_173076,chr2,-,44,214953854,214954107,254,0
ABCA12,NM_173076,chr2,-,45,214950879,214951083,205,2
ABCA12,NM_173076,chr2,-,46,214949040,214949149,110,0
ABCA12,NM_173076,chr2,-,47,214948596,214948737,142,2
ABCA12,NM_173076,chr2,-,48,214947422,214947556,135,0
ABCA12,NM_173076,chr2,-,49,214945001,214945104,104,0
ABCA12,NM_173076,chr2,-,50,214942925,214943017,93,2
ABCA12,NM_173076,chr2,-,51,214937510,214937615,106,2
ABCA12,NM_173076,chr2,-,52,214934078,214934215,138,0
ABCA12,NM_173076,chr2,-,53,214931542,214932741,1200,0
