Uniprot_ID,Total_Protein_Domain_Count,Total_Protein_Repeat_Count
P05186,0,0
Q96Q42,3,13
Q15699,0,0
O95076,0,0
Q9H161,0,0
Q9UHK6,0,0
Q9NP70,0,2
Q99217,0,0
Q5JTC6,0,0
Q9UKV5,1,0
P03971,0,0
Q16671,1,0
Q9Y4X0,1,0
Q9BXJ7,1,0
Q8IY63,0,0
P23109,0,0
Q01433,0,0
P48728,0,0
Q6UX39,0,0
Q9H1A4,0,4
Q9UJX3,0,10
P03950,0,0
Q15389,1,0
O15123,1,0
Q9Y5C1,1,0
Q9BY76,1,0
Q8NI99,1,0
P16157,3,23
Q01484,4,39
Q12955,3,23
Q9HCJ1,0,0
Q86XL3,1,1
Q15327,0,5
Q6UB99,0,4
O75179,1,25
Q9UPS8,0,5
Q68DC2,1,11
Q9H8Y5,1,2
Q9NQW6,1,0
Q5XXA6,0,0
Q9NW15,0,0
Q9BYT9,0,0
Q32M45,0,0
Q75V66,0,0
Q4KMQ2,0,0
P23352,5,0
Q9H6X2,1,0
P58335,1,0
P50995,0,4
Q8N6M6,0,0
Q10567,0,0
O43747,1,0
P61966,0,0
P56377,0,0
Q96PC3,0,0
Q96CW1,1,0
P53680,0,0
O00203,0,0
Q13367,0,0
O14617,0,11
Q9Y6B7,0,0
Q9UPM8,0,0
O00189,1,0
Q9Y587,0,0
Q2VPB7,0,0
Q9H0R1,1,0
O43299,0,0
P25054,0,7
O95996,0,11
Q8J025,0,0
P02647,0,10
P02652,0,0
P06727,0,13
Q6Q788,0,0
P04114,1,0
P02655,0,0
P02656,0,0
P02649,0,8
O14791,0,0
P05067,3,0
Q9UKG1,3,0
P07741,0,0
Q7Z2E3,2,0
P29972,0,0
P41181,0,0
P55064,0,0
P10275,1,0
P10398,2,0
Q8WWN8,7,0
P48444,1,0
P84077,0,0
P61204,0,0
Q9Y6D6,1,0
Q9Y6D5,1,0
Q5TH69,1,0
P05089,0,0
Q14CB8,1,0
Q9UNA1,4,0
Q52LW3,2,0
Q2M1Z3,1,0
Q9NRY4,7,0
P52565,0,0
Q92888,3,0
O15013,1,0
O94989,1,0
Q6ZSZ5,2,0
Q8N1W1,2,0
Q8TER5,2,0
O43307,3,0
O14497,1,0
Q8NFD5,1,0
Q68CP9,1,0
Q9Y4X5,0,0
Q3SXY8,0,0
Q8N8R7,0,0
Q9Y2Y0,0,0
P36405,0,0
Q9H0F7,0,0
Q15041,0,0
Q5T9G4,0,3
Q8NEN0,0,12
Q96C12,1,7
Q7Z3E5,1,0
O15143,0,6
P59998,0,0
O15511,0,0
P36575,0,0
P15289,0,0
P15848,0,0
Q96EG1,0,0
Q6UWY0,0,0
P51690,0,0
Q9H2C2,0,0
Q96QS3,0,0
Q13510,0,0
Q8WXI3,1,7
Q8N9N2,1,0
Q8N3C0,6,0
Q9NR48,5,0
P04424,0,0
P08243,2,0
P45381,0,0
Q12797,0,4
Q8IZT6,41,0
Q53RT3,1,0
Q9BZE9,1,0
Q7L266,0,0
P00966,0,0
O14525,4,0
Q8IXJ9,2,0
Q76L83,2,0
Q9C0F0,2,0
Q8NBU5,0,0
Q9NVI7,0,0
Q86WG3,1,0
P18847,1,0
P18850,1,0
Q676U5,0,7
Q86TL0,0,0
Q9H1Y0,0,0
O95352,0,0
P31939,1,0
Q8WXF7,1,0
Q6DD88,1,0
Q13315,3,0
P54259,0,0
Q8N100,1,0
P98196,0,0
Q8NB49,0,0
Q9NQ11,0,0
Q9H7F0,0,0
P05023,0,0
P50993,0,0
P13637,0,0
O14983,0,0
P16615,0,0
P20020,0,0
Q01814,0,0
Q16720,0,0
P98194,0,0
P25705,0,0
P36542,0,0
P30049,0,0
P56381,0,0
P05496,0,0
Q06055,0,0
P48201,0,0
P56385,0,0
Q96IX5,0,0
P18859,0,0
P48047,0,0
Q15904,0,0
O75787,0,0
Q93050,0,0
Q9Y487,0,0
Q9HBG4,0,0
P27449,0,0
P38606,0,0
P15313,0,0
P21281,0,0
P36543,0,0
Q04656,7,0
P35670,6,0
Q9NTI2,0,0
O43520,0,0
O75110,0,0
Q8N5M1,0,0
Q13535,3,2
Q8WXE1,0,0
P46100,3,0
P54253,1,0
Q9UBB4,0,0
Q99700,1,0
Q8WWM7,1,0
P54252,4,0
O15265,1,0
Q14CW9,1,0
Q13825,0,0
Q9UQB9,1,0
Q8WXX7,0,0
O75366,1,6
P01185,0,0
P30518,0,0
O15169,2,0
Q9Y2T1,2,0
P61769,1,0
Q8NCR0,0,0
Q96L58,0,0
O94766,0,0
Q6Y288,0,0
Q9NY97,0,0
Q00973,0,0
Q8NHY0,0,0
P15291,0,0
Q9UBV7,0,0
O43505,0,0
Q9UPM9,1,0
Q9BPU9,1,0
Q14032,0,0
Q9BYV9,2,0
O95817,3,0
Q9UL15,5,0
O75531,1,0
Q92560,2,0
Q99728,2,4
Q07812,0,0
Q9UIF8,3,0
A8MTZ0,0,0
Q8NFJ9,0,0
Q8TAM1,0,0
Q6ZW61,0,0
Q9BXC9,0,0
Q96RK4,0,10
Q8N3I7,0,0
Q8IWZ6,0,0
Q3SYG4,0,0
P51572,0,0
Q9H6U6,0,1
O15382,0,0
P06276,0,0
P12694,0,0
P21953,0,0
O14874,1,0
O95999,1,0
Q9H165,0,0
Q9C0K0,0,0
P10415,0,0
Q86UU0,0,0
Q6W2J9,0,3
Q5H9F3,0,3
Q9Y276,0,0
Q3B7T3,0,0
Q14457,0,0
O76090,0,0
O15155,1,0
Q12934,1,0
Q13515,1,0
P21810,0,12
Q7RTU4,1,0
Q8NFJ8,1,0
Q8TD16,0,0
Q9NZM4,0,0
O00499,2,0
P51451,3,0
P54132,3,0
Q8WV28,1,0
P78537,0,0
Q6QNY0,0,0
Q8TDH9,0,0
Q9UL45,0,0
Q2LD37,0,0
P53004,0,0
P13497,8,0
O95972,0,0
P12643,0,0
P12644,0,0
P22004,0,0
P18075,0,0
Q8N8U9,7,0
P36894,2,0
O00238,2,0
Q13873,1,0
Q6ZN30,0,0
Q12981,0,0
Q53S33,0,0
Q96FH0,0,0
P07738,0,0
Q9NX62,0,0
Q12830,2,0
P15056,2,0
Q6PJG6,0,2
P38398,2,0
P51587,0,8
O60885,3,0
Q92994,0,2
Q9BX63,1,0
P55201,2,0
Q8TDC3,2,0
Q8IWQ3,2,0
Q9NSI6,2,8
Q6RI45,2,8
Q96G97,0,0
Q8WZ55,0,0
P43251,1,0
Q9NY30,0,0
Q06187,4,0
Q9Y297,1,7
O43683,2,0
O60566,2,0
Q9BRD0,0,0
Q8NE79,0,0
Q711Q0,0,0
Q99622,0,0
H0YJQ0,0,0
Q9NSK7,0,0
Q9H6X5,0,0
Q96EU7,0,0
P02745,2,0
P02746,3,0
Q07021,0,0
P02747,2,0
Q9BXJ0,2,0
P00736,6,0
P09871,6,0
P06681,5,0
Q4AC94,6,0
Q8N8R5,0,0
P01024,2,0
H7C5J7,0,0
P0C0L4,2,0
P0C0L5,2,0
P01031,2,0
P13671,10,0
P10643,7,0
P07357,5,0
P07358,5,0
P07360,0,0
P02748,4,0
Q96LT7,3,0
O43570,1,0
P00918,1,0
P35218,1,0
P35219,1,0
Q9NPB3,4,0
P57796,4,0
Q5VU97,3,0
O00555,0,4
Q00975,1,4
Q13936,0,4
Q01668,0,4
Q15878,1,4
O60840,0,4
O43497,0,4
O95180,0,4
Q9P0X4,0,4
Q13698,0,4
P54289,2,0
Q9NY47,2,0
Q7Z3S7,2,0
Q08289,1,0
O00305,1,0
P27708,4,0
Q8N126,3,0
Q16602,0,0
P0DP23,4,0
P0DP24,4,0
P0DP25,4,0
P27797,0,7
Q9UQM7,1,0
Q13554,1,0
Q13557,1,0
Q13555,1,0
Q16566,1,0
Q5T5Y3,2,0
Q9Y6Y1,4,3
Q8WVQ1,0,0
P40123,1,0
P07384,5,0
O75808,1,0
P20807,5,0
O15484,2,0
P04632,5,0
Q14444,0,0
P47755,0,0
Q9BXL7,3,0
Q9BXL6,3,0
Q9Y2G2,2,0
Q9H257,1,0
Q6F5E8,0,16
P49589,0,0
Q9HA77,0,0
O14936,6,0
P29466,1,0
Q92851,2,0
P31944,0,0
P42575,1,0
P42574,0,0
Q14790,2,0
P31415,0,0
O14958,0,0
P41180,0,0
Q86V15,0,0
P04040,0,0
Q8NEC5,0,0
Q03135,0,0
P56539,0,0
Q6NZI2,0,0
Q13951,0,0
P22681,2,0
Q13191,2,0
P27352,0,0
P35520,1,0
P83916,2,0
Q9Y3M2,0,0
Q6P1N0,1,0
Q9P2K1,1,0
Q6UXH8,3,0
Q8IW40,0,0
Q96NT0,0,0
Q9H6E4,0,0
Q8IYE0,0,0
Q6PII3,0,0
Q7Z3E2,0,0
O60826,0,0
Q9BV29,0,0
Q96HJ3,0,0
Q9UFE4,0,0
Q4G0X9,0,0
Q96A33,0,0
Q8IVM0,0,0
Q8IXS2,0,0
A2IDD5,0,0
Q9H0W5,0,0
Q8N4S0,0,0
Q3V6T2,1,0
Q9P219,1,0
I3L3R5,0,0
Q13939,2,6
P13500,0,0
P13501,0,0
Q9BSQ5,1,0
P29279,4,0
O95389,3,0
P30279,1,0
P41002,2,0
P22674,0,0
P41597,0,0
P32248,0,0
P78371,0,0
P49368,0,0
P40227,0,0
P08571,0,11
P48509,0,0
Q04900,0,0
P15391,2,0
Q9UJ71,1,0
Q9BZW8,2,0
P20963,3,0
P26842,0,3
P10747,1,0
Q9Y5K6,3,0
Q9NPF0,2,0
P16671,0,0
P04234,1,0
P07766,2,0
P09693,2,0
P01730,4,0
P25942,0,4
P29965,1,0
P15529,4,0
P08174,4,0
P13987,1,0
P32970,1,0
P11912,2,0
P40259,2,0
P60033,0,0
P01732,1,0
P40200,3,0
Q8IWY9,0,0
Q9UNH5,1,0
Q12834,0,7
P60953,0,0
Q9Y5S2,5,0
O75419,0,0
Q99741,0,0
Q6P1J9,0,0
Q9BWT1,0,0
Q53HL2,0,0
P12830,5,0
P55287,5,0
P55291,5,0
P19022,5,0
Q9H251,27,0
P22223,5,0
P55283,5,0
Q96JP9,6,0
Q9Y2V0,0,0
Q15131,1,0
Q14004,1,0
Q00536,1,0
Q9BWU1,1,0
P11802,1,0
Q00535,1,0
Q96SN8,0,0
P49336,1,0
P50750,1,0
O76039,1,0
P38936,0,0
P46527,0,0
P49918,0,9
Q8N726,0,0
P42772,0,4
P42773,0,4
Q4KMG0,8,0
Q15517,0,0
Q9H211,0,0
P47902,0,0
Q99626,0,0
Q2WEN9,2,0
P49715,1,0
Q15744,1,0
P19835,0,17
P08217,1,0
P08861,1,0
O95319,3,0
Q9BZC1,3,0
Q9NYQ6,21,0
Q9NYQ7,21,0
P49454,0,2
Q9HC77,0,0
O60308,0,2
Q8N8E3,0,0
Q8N960,2,0
Q66GS9,0,0
O94986,0,0
Q9UPV0,1,0
Q96LK0,0,0
Q9BV73,0,0
O15078,0,0
Q9C0D2,0,0
Q9BYV8,1,0
O95684,1,0
Q53EZ4,0,0
Q86XR8,0,0
Q96MT8,0,0
Q5JTW2,0,0
Q9Y592,0,0
Q5SZL2,0,0
Q96ST8,0,0
Q49MI3,1,0
P27544,1,0
Q8IU89,1,0
Q9Y5P4,2,0
P23141,0,0
P11597,0,0
Q9Y6A4,0,0
Q4G0U5,0,0
Q8TBY9,0,14
Q5T5A4,0,0
P57076,0,0
Q9BRQ4,0,0
O43822,1,3
Q96NL8,0,0
Q8NDM7,0,9
Q96MT7,0,9
Q9UL16,0,0
Q6ZTR5,1,0
Q8N1V2,0,11
Q96M91,0,0
Q96N23,0,0
Q96MR6,0,10
Q5T655,0,0
Q8NHU2,0,0
Q6ZU64,1,0
A5D8W1,0,0
Q9C0B2,0,0
Q7Z4T9,0,0
P00751,5,0
P0CG37,1,0
P00746,1,0
P08603,20,0
Q03591,5,0
P36980,4,0
Q02985,5,0
Q92496,9,0
Q9BXR6,9,0
P05156,5,0
Q9Y281,1,0
P27918,7,0
P13569,4,0
Q13111,0,0
Q96JM3,0,0
P28329,0,0
Q8WYQ3,1,0
Q9Y6H1,1,0
O14646,4,3
O14647,4,0
Q12873,4,0
Q14839,4,0
Q8TDI0,4,0
Q9P2D1,4,0
Q9HCK8,4,0
O14757,1,0
O96017,2,0
P35790,0,0
Q9Y259,0,0
O00533,10,0
P24386,0,0
Q9HD42,0,0
Q9UQN3,0,0
Q9H444,0,0
P15882,2,0
Q99653,4,0
Q9BU40,3,0
P11229,0,0
P20309,0,0
P02708,0,0
Q15822,0,0
P32297,0,0
P43681,0,0
P11230,0,0
P17787,0,0
Q07001,0,0
Q04844,0,0
P07510,0,0
Q8NCH0,0,0
Q7LGC8,0,0
Q9GZX3,0,0
Q86X52,0,0
O15111,1,0
O76071,0,7
Q99828,2,0
O75838,3,0
Q96RK0,0,0
Q96AQ7,1,0
P33076,1,4
Q9UPZ9,1,0
A0A1B0GTW7,0,0
Q8N9H9,0,0
Q8N5K1,0,0
O14578,4,0
Q99967,0,0
Q9ULV3,0,0
Q8IYA6,0,0
Q9UQC9,1,0
Q96S66,0,0
Q9UBD9,0,0
P35523,2,0
P51788,2,0
P51790,2,0
P51793,2,0
P51795,2,0
P51797,2,0
P51798,2,0
P51801,2,0
O95832,0,0
P78369,0,0
O75508,0,0
O95500,0,0
Q9Y5I7,0,0
Q8N6F1,0,0
O00501,0,0
O95484,0,0
Q2KHT3,1,0
P05452,1,0
Q9H2X3,1,7
Q9BXN2,1,0
Q9NZA1,1,0
Q9H6B4,2,0
Q13286,0,0
O75503,0,0
Q9NWW5,0,0
Q9UBY8,1,0
Q92989,0,0
Q9H078,0,4
Q16740,0,0
P58418,0,0
A0PK11,0,0
Q00610,0,7
Q96AJ1,0,0
Q9HAE3,3,0
Q5EBM0,0,0
P62633,0,0
P29973,0,0
Q16281,0,0
Q14028,0,0
Q9NQW8,0,0
Q8WXI2,5,0
Q9H8M5,3,0
Q6P4Q7,3,0
A5YKK6,0,0
Q9NZN8,0,0
O75175,0,0
Q92600,0,0
P09543,0,0
Q9BT09,1,0
Q12860,10,0
Q02246,10,0
P78357,8,0
Q9UHC6,8,0
Q9GZY4,0,0
Q9Y2R0,0,0
Q86WW8,1,0
Q5JTJ3,1,0
Q96BR5,0,5
Q96IL0,0,0
Q13057,1,0
O43405,3,0
Q8WTW3,0,0
Q96JB2,0,0
Q9H9E3,0,0
Q9UP83,0,0
Q9Y2V7,0,0
P83436,0,0
Q96MW5,0,0
Q03692,1,0
P12107,10,0
Q99715,27,0
Q5TAT6,0,0
Q9UMD9,0,0
P39060,2,0
P02452,2,0
P08123,1,0
Q9BXS0,7,0
Q8IZC6,18,0
P02458,2,0
P02461,2,0
P02462,1,0
P08572,1,0
Q01955,1,0
P53420,1,0
P29400,1,0
Q14031,1,0
P20908,2,0
P05997,2,0
P12109,3,0
P12110,3,0
P12111,19,0
Q02388,12,0
P25067,1,0
P20849,11,0
Q14055,0,0
Q14050,0,0
Q9Y6Z7,2,0
Q9BWP8,2,0
Q8NBJ5,0,0
Q9Y215,2,0
P49747,5,8
P53621,0,7
P53618,0,6
P35606,0,6
Q96H96,0,0
Q9Y3A0,0,0
Q5HYK3,0,0
Q9Y2Z9,0,0
Q99807,0,2
Q8NI60,1,0
Q96D53,1,0
O75208,0,0
Q9Y5Q5,11,0
P31146,0,7
Q12887,0,0
Q9Y6N1,0,0
Q96I36,0,0
Q7KZN9,0,0
Q9P0S2,0,0
Q8N8Q8,0,0
Q5RI15,0,0
P13073,0,0
Q96KJ9,0,0
P20674,0,0
P10606,0,0
P12074,0,0
Q02221,0,0
P14854,1,0
P09669,0,0
P24310,0,0
P24311,0,0
P15954,0,0
P10176,0,0
P00450,6,0
P15085,1,0
Q8N4T0,1,0
Q8IZJ3,1,0
P16870,1,0
Q9H799,0,0
O14810,0,0
P15169,1,0
P36551,0,0
P31327,4,0
Q10570,0,0
Q9UKF6,0,0
P50416,0,0
Q8TCG5,0,0
P23786,0,0
P20023,15,0
P78560,2,0
P43155,0,0
P82279,22,0
Q5IJ48,18,0
Q96SW2,2,0
P16220,2,0
Q96BA8,1,0
Q68CJ9,1,0
Q92793,3,0
Q96HD1,2,2
Q9NZV1,11,0
Q9P021,0,0
O75462,3,0
Q9UJA2,0,0
Q14194,0,0
Q9BZJ0,0,17
O75718,0,0
Q6UUV9,0,0
O43186,0,0
P02489,1,0
P02511,1,0
P05813,4,0
P53673,4,0
P53674,4,0
P43320,4,0
P26998,4,0
P07316,4,0
P07315,4,0
P07320,4,0
P22914,4,0
Q14894,0,0
O75534,10,0
P07333,6,0
P15509,1,0
P32927,2,0
Q99062,6,0
Q8TDX6,0,0
Q96PZ7,42,0
P48730,1,0
Q9HCP0,1,0
P68400,1,0
P67870,0,0
Q1MSJ5,0,0
P50461,2,0
P01034,0,0
P01040,0,0
P04080,0,0
P33240,1,12
Q13363,0,0
Q2NKJ3,0,0
P49711,0,0
Q9Y5B0,2,0
P32929,0,0
Q96CG8,1,0
P16410,1,0
P35221,0,0
P26232,0,0
Q9UI47,0,0
P35222,0,12
O60716,0,10
Q9UQB3,0,9
O60931,2,0
P17812,1,0
Q6PD62,0,16
Q99895,1,0
P10619,0,0
P07858,0,0
P53634,0,0
P07339,1,0
Q9UBX1,0,0
P43235,0,0
Q2VPK5,0,0
O60494,34,0
Q13618,1,0
Q13620,1,0
Q14999,2,0
Q13948,0,0
O14529,0,0
Q6UX04,1,0
Q69YN2,0,0
P49238,0,0
P78310,2,0
P10145,0,0
P25025,0,0
P49682,0,0
P61073,0,0
P49447,1,0
P00167,1,0
P00387,1,0
P13498,0,0
P04839,2,0
Q9BQA9,0,0
Q53TN4,1,0
P08574,1,0
P99999,0,0
Q96F07,0,0
Q9NQC7,4,0
P05108,0,0
P15538,0,0
P19099,0,0
P05093,0,0
P11511,0,0
Q16678,0,0
P08686,0,0
Q07973,0,0
Q9NR63,0,0
Q6V0L0,0,0
Q02318,0,0
O15528,0,0
P11509,0,0
P20813,0,0
P33261,0,0
P11712,0,0
Q6VVX0,0,0
Q7Z449,0,0
P08684,0,0
Q6NT55,0,0
Q6ZWL3,0,0
Q16850,0,0
O75881,0,0
Q717R9,0,0
Q8N465,1,0
Q86T65,4,0
O75553,1,0
Q96NX9,0,0
Q9NYF0,0,0
Q14118,1,0
Q9Y4D2,0,0
Q5D0E6,0,0
Q8N907,1,0
P51398,0,0
P14868,0,0
Q6PI48,0,0
Q8N136,0,8
P09172,1,0
Q9UK59,0,0
P11182,2,0
Q5H9S7,0,0
P43146,10,0
Q9UHG0,2,0
Q96JQ0,27,0
Q6V1P9,27,0
Q9H816,0,0
Q96SD1,0,0
P07585,0,12
Q96C86,0,0
P40126,0,0
Q14203,1,0
O43602,2,0
Q7Z4W1,0,0
Q16531,0,0
Q92466,0,7
P20711,0,2
Q8NEL9,1,0
O94830,3,0
P39656,0,0
Q16832,2,0
Q96HY6,1,0
Q96FC9,1,0
Q92841,2,0
Q9BUQ8,2,0
Q13838,2,0
O00571,2,0
Q9UJV9,2,0
Q86TM3,3,0
Q5T1V6,2,0
P26196,2,0
O75398,1,0
Q9H4E7,1,0
P59665,0,0
O15121,0,0
P35659,2,0
A2RUS2,3,7
Q6IQ26,6,0
Q6ZUT9,6,0
O75140,1,0
P17661,1,0
O75907,0,0
Q8WYQ5,3,0
P52429,1,0
Q16854,0,0
Q15392,1,0
Q9UBM7,0,0
Q86SQ9,0,0
P00374,1,0
O43323,0,0
Q02127,0,0
P49366,0,0
Q8N5I4,0,0
Q96HY7,0,0
O60231,2,0
Q7L2E3,3,0
Q7L7V1,1,0
Q14147,2,0
Q8IY37,2,0
Q92620,2,0
Q08211,4,0
Q9NR28,0,0
O60610,4,0
Q9NSV4,4,0
Q9UPY3,7,0
P49895,0,0
Q9P265,1,0
Q9Y2E4,1,0
Q8IYB7,0,0
Q96F81,1,0
O60832,1,0
P10515,3,0
Q96QB1,3,0
P09622,0,0
Q12959,6,0
Q15700,5,0
Q92796,5,0
P78352,5,0
Q8TDM6,6,0
O00548,9,0
Q9NYJ7,7,0
Q9NR61,9,0
P36957,1,0
O60479,0,0
Q92988,0,0
P56178,0,0
P11532,3,24
Q9UI17,0,0
Q13316,0,0
Q09013,2,0
Q9Y5R6,0,0
Q8TDJ6,0,16
P51530,0,0
Q8NEP3,1,6
Q86X45,2,4
Q9NVR5,0,0
Q8N9W5,0,0
Q8WXU2,1,3
Q86Y56,0,10
Q9NQM4,0,0
Q9P2D7,0,0
Q8IVF4,0,5
Q96DT5,0,0
Q6ZR08,0,0
Q9UFH2,0,3
Q9P225,0,5
Q8TE73,0,0
Q9C0G6,0,0
Q8WXX0,0,0
Q96JB1,0,0
Q9NYC9,0,0
Q9UI46,0,7
Q9GZS0,0,7
Q9UBS4,1,0
P59910,1,0
P25686,3,0
Q9UDY4,1,0
O75190,1,0
Q9UKB3,1,0
O75165,1,0
Q96DA6,1,0
Q5F1R6,1,0
Q13217,1,9
Q96LL9,1,0
Q9H3Z4,1,0
O75061,3,3
Q99615,1,9
Q4LDG9,1,4
O14645,0,0
Q13609,0,0
O00115,0,0
Q96M86,0,0
Q05193,3,0
O00429,2,0
P50570,3,0
Q6XZF7,8,0
P26358,4,6
Q9Y6K1,3,0
Q9UBC3,3,0
Q5JSL3,3,0
Q92608,3,0
Q8IZD9,3,0
Q8N1I0,3,0
Q96HP0,2,0
Q96N67,2,0
Q8NF50,2,0
Q9BU89,0,5
Q18PE1,2,0
Q9UPQ8,0,0
Q9NYP3,0,0
Q8TEK3,1,0
Q9H3H5,0,0
Q92785,0,0
Q9BZG8,0,0
Q9BQC3,0,0
Q9H2P9,0,0
O60762,0,0
O94777,0,0
Q9P2X0,0,0
P27487,0,0
P42658,0,0
Q86TI2,0,0
Q07507,0,5
Q6NUT2,0,0
Q12882,3,0
Q14117,0,0
Q16555,0,0
Q9BPU6,0,0
Q6UX65,0,0
Q96MC2,0,0
P21917,0,4
Q9Y295,2,0
Q9NRR4,3,0
Q13474,1,2
Q02487,5,0
Q14574,5,0
Q9UL01,0,0
Q02413,4,5
Q14126,4,6
P32926,4,2
Q86SJ6,4,2
P15924,1,24
Q9NZW4,0,0
Q03001,6,37
Q6XUX3,1,0
Q9Y4J8,0,0
Q96EV8,0,0
P23919,0,0
Q9NRD8,5,0
Q1HG44,0,0
Q16828,2,0
P33316,0,0
O14640,3,0
O14641,3,0
Q92997,3,0
Q7RTS9,0,0
Q14204,0,0
O14576,0,7
Q13409,0,7
Q8NCM8,0,0
Q8WVS4,0,4
Q96EX3,0,5
Q8TCX1,0,0
Q8WW35,0,0
Q13627,1,0
Q9Y463,1,0
O75923,7,0
Q86YF9,0,0
Q8IYY4,0,0
Q5JPH6,0,0
Q9H4W6,1,0
Q15125,1,0
P42892,1,0
O95672,1,0
P30084,0,0
Q16610,0,2
Q92838,2,0
Q9UNE0,1,3
Q8WWZ3,1,0
Q9BZQ6,1,0
P05305,0,0
P14138,0,0
P25101,0,0
P24530,0,0
O75530,0,7
Q05639,1,0
P24534,1,0
P29692,0,0
P13639,1,0
P57772,1,0
Q12805,6,0
O95967,6,0
Q5JVL4,4,0
Q7Z2Z2,1,0
P98172,1,0
Q15029,1,0
P00533,1,2
Q9GZT9,1,0
P11161,0,0
Q8N3D4,3,0
Q08426,0,0
Q9H9B1,2,8
P19525,3,2
Q9NZJ5,1,0
Q9P2K8,3,0
Q14232,0,0
P49770,0,0
Q9NR50,0,0
Q9UI10,0,0
Q13144,1,0
P41091,1,0
P55884,1,8
O00303,1,0
Q7L2H7,1,0
Q14240,2,0
P38919,2,0
Q9NRA8,0,0
Q04637,3,0
P63241,0,0
Q9BQ52,0,0
P08246,1,0
Q99607,0,0
P0C7U0,2,6
Q96JJ3,2,0
Q96FG2,1,0
P15502,0,0
Q9BW60,0,0
Q9GZR5,0,0
Q9NYP7,0,0
O95163,0,0
Q6IA86,0,14
Q96EB1,0,0
Q8N766,0,0
Q5UCC4,0,0
P50402,1,0
Q92979,0,0
Q9Y6C2,3,0
O00423,0,12
P54851,0,0
Q04743,0,0
Q05925,0,0
